model,resolution,category,gmacs,pct_of_total
swin_tiny_patch4_window7_224,64,ffn_mlp,0.2265,53.16
swin_tiny_patch4_window7_224,64,attention_qkv,0.1244,29.19
swin_tiny_patch4_window7_224,64,attention_proj,0.0415,9.73
swin_tiny_patch4_window7_224,64,downsample,0.0144,3.37
swin_tiny_patch4_window7_224,64,patch_embed,0.0013,0.31
swin_tiny_patch4_window7_224,64,norm,0.0012,0.28
swin_tiny_patch4_window7_224,64,attention_other,0.0000,0.00
swin_tiny_patch4_window7_224,64,other,0.0000,0.00
swin_tiny_patch4_window7_224,64,head,0.0000,0.00
swin_tiny_patch4_window7_224,96,ffn_mlp,0.5096,59.16
swin_tiny_patch4_window7_224,96,attention_qkv,0.2141,24.86
swin_tiny_patch4_window7_224,96,attention_proj,0.0714,8.29
swin_tiny_patch4_window7_224,96,downsample,0.0323,3.75
swin_tiny_patch4_window7_224,96,patch_embed,0.0029,0.34
swin_tiny_patch4_window7_224,96,norm,0.0027,0.31
swin_tiny_patch4_window7_224,96,attention_other,0.0000,0.00
swin_tiny_patch4_window7_224,96,other,0.0000,0.00
swin_tiny_patch4_window7_224,96,head,0.0000,0.00
swin_tiny_patch4_window7_224,128,ffn_mlp,0.9060,44.25
swin_tiny_patch4_window7_224,128,attention_qkv,0.7421,36.24
swin_tiny_patch4_window7_224,128,attention_proj,0.2474,12.08
swin_tiny_patch4_window7_224,128,downsample,0.0575,2.81
swin_tiny_patch4_window7_224,128,patch_embed,0.0052,0.25
swin_tiny_patch4_window7_224,128,norm,0.0047,0.23
swin_tiny_patch4_window7_224,128,attention_other,0.0000,0.00
swin_tiny_patch4_window7_224,128,other,0.0000,0.00
swin_tiny_patch4_window7_224,128,head,0.0000,0.00
swin_tiny_patch4_window7_224,160,ffn_mlp,1.4156,52.65
swin_tiny_patch4_window7_224,160,attention_qkv,0.8038,29.90
swin_tiny_patch4_window7_224,160,attention_proj,0.2679,9.97
swin_tiny_patch4_window7_224,160,downsample,0.0898,3.34
swin_tiny_patch4_window7_224,160,patch_embed,0.0081,0.30
swin_tiny_patch4_window7_224,160,norm,0.0074,0.27
swin_tiny_patch4_window7_224,160,attention_other,0.0000,0.00
swin_tiny_patch4_window7_224,160,other,0.0000,0.00
swin_tiny_patch4_window7_224,160,head,0.0000,0.00
swin_tiny_patch4_window7_224,224,ffn_mlp,2.7745,61.54
swin_tiny_patch4_window7_224,224,attention_qkv,1.0404,23.08
swin_tiny_patch4_window7_224,224,attention_proj,0.3468,7.69
swin_tiny_patch4_window7_224,224,downsample,0.1760,3.90
swin_tiny_patch4_window7_224,224,patch_embed,0.0160,0.35
swin_tiny_patch4_window7_224,224,norm,0.0145,0.32
swin_tiny_patch4_window7_224,224,attention_other,0.0000,0.00
swin_tiny_patch4_window7_224,224,other,0.0000,0.00
swin_tiny_patch4_window7_224,224,head,0.0000,0.00
swin_tiny_patch4_window7_224,256,ffn_mlp,3.6239,49.18
swin_tiny_patch4_window7_224,256,attention_qkv,2.4060,32.65
swin_tiny_patch4_window7_224,256,attention_proj,0.8020,10.88
swin_tiny_patch4_window7_224,256,downsample,0.2299,3.12
swin_tiny_patch4_window7_224,256,patch_embed,0.0208,0.28
swin_tiny_patch4_window7_224,256,norm,0.0189,0.26
swin_tiny_patch4_window7_224,256,attention_other,0.0000,0.00
swin_tiny_patch4_window7_224,256,other,0.0000,0.00
swin_tiny_patch4_window7_224,256,head,0.0000,0.00
swin_tiny_patch4_window7_224,384,ffn_mlp,8.1537,56.81
swin_tiny_patch4_window7_224,384,attention_qkv,3.8367,26.73
swin_tiny_patch4_window7_224,384,attention_proj,1.2789,8.91
swin_tiny_patch4_window7_224,384,downsample,0.5173,3.60
swin_tiny_patch4_window7_224,384,patch_embed,0.0469,0.33
swin_tiny_patch4_window7_224,384,norm,0.0426,0.30
swin_tiny_patch4_window7_224,384,attention_other,0.0000,0.00
swin_tiny_patch4_window7_224,384,other,0.0000,0.00
swin_tiny_patch4_window7_224,384,head,0.0000,0.00
swin_tiny_patch4_window7_224,512,ffn_mlp,14.4955,56.62
