model,resolution,params_M,gmacs,sum_by_module_pct,status
swin_tiny_patch4_window7_224,64,27.52,0.4261,96.0,ok
swin_tiny_patch4_window7_224,96,27.52,0.8614,96.7,ok
swin_tiny_patch4_window7_224,128,27.52,2.0476,95.9,ok
swin_tiny_patch4_window7_224,160,27.52,2.6886,96.4,ok
swin_tiny_patch4_window7_224,224,27.52,4.5084,96.9,ok
swin_tiny_patch4_window7_224,256,27.52,7.3690,96.4,ok
swin_tiny_patch4_window7_224,384,27.52,14.3537,96.7,ok
swin_tiny_patch4_window7_224,512,27.52,25.5999,96.6,ok
swin_tiny_patch4_window7_224,768,27.52,54.6476,96.8,ok
swin_tiny_patch4_window7_224,1024,27.52,98.7994,96.7,ok
swin_small_patch4_window7_224,64,48.84,0.7689,97.5,ok
swin_small_patch4_window7_224,96,48.84,1.6394,97.5,ok
swin_small_patch4_window7_224,128,48.84,4.4323,96.1,ok
swin_small_patch4_window7_224,160,48.84,5.5846,96.7,ok
swin_small_patch4_window7_224,224,48.84,8.7678,97.4,ok
swin_small_patch4_window7_224,256,48.84,14.3252,96.7,ok
swin_small_patch4_window7_224,384,48.84,28.4371,97.1,ok
swin_small_patch4_window7_224,512,48.84,49.3662,97.1,ok
swin_small_patch4_window7_224,768,48.84,105.4470,97.3,ok
swin_small_patch4_window7_224,1024,48.84,193.8646,97.2,ok
swin_base_patch4_window7_224,64,86.74,1.3568,98.1,ok
swin_base_patch4_window7_224,96,86.74,2.8931,98.1,ok
swin_base_patch4_window7_224,128,86.74,7.7965,97.0,ok
swin_base_patch4_window7_224,160,86.74,9.8366,97.5,ok
swin_base_patch4_window7_224,224,86.74,15.4668,98.0,ok
swin_base_patch4_window7_224,256,86.74,25.2352,97.5,ok
swin_base_patch4_window7_224,384,86.74,50.1301,97.8,ok
swin_base_patch4_window7_224,512,86.74,87.0361,97.8,ok
swin_base_patch4_window7_224,768,86.74,185.9841,98.0,ok
swin_base_patch4_window7_224,1024,86.74,341.8431,97.9,ok
deit3_small_patch16_224,64,21.67,0.3665,100.0,ok
deit3_small_patch16_224,96,21.67,0.7980,100.0,ok
deit3_small_patch16_224,128,21.67,1.4022,100.0,ok
deit3_small_patch16_224,160,21.67,2.1789,100.0,ok
deit3_small_patch16_224,224,21.67,4.2503,100.0,ok
deit3_small_patch16_224,256,21.67,5.5449,100.0,ok
deit3_small_patch16_224,384,21.67,12.4494,100.0,ok
deit3_small_patch16_224,512,21.67,22.1157,100.0,ok
deit3_small_patch16_224,768,21.67,49.7337,100.0,ok
deit3_small_patch16_224,1024,21.67,88.3989,100.0,ok
deit3_medium_patch16_224,64,38.34,0.6491,100.0,ok
deit3_medium_patch16_224,96,38.34,1.4132,100.0,ok
deit3_medium_patch16_224,128,38.34,2.4830,100.0,ok
deit3_medium_patch16_224,160,38.34,3.8584,100.0,ok
deit3_medium_patch16_224,224,38.34,7.5262,100.0,ok
deit3_medium_patch16_224,256,38.34,9.8185,100.0,ok
deit3_medium_patch16_224,384,38.34,22.0444,100.0,ok
deit3_medium_patch16_224,512,38.34,39.1607,100.0,ok
deit3_medium_patch16_224,768,38.34,88.0643,100.0,ok
deit3_medium_patch16_224,1024,38.34,156.5294,100.0,ok
deit3_base_patch16_224,64,85.82,1.4550,100.0,ok
deit3_base_patch16_224,96,85.82,3.1674,100.0,ok
deit3_base_patch16_224,128,85.82,5.5647,100.0,ok
deit3_base_patch16_224,160,85.82,8.6471,100.0,ok
deit3_base_patch16_224,224,85.82,16.8666,100.0,ok
deit3_base_patch16_224,256,85.82,22.0039,100.0,ok
deit3_base_patch16_224,384,85.82,49.4024,100.0,ok
deit3_base_patch16_224,512,85.82,87.7604,100.0,ok
deit3_base_patch16_224,768,85.82,197.3546,100.0,ok
deit3_base_patch16_224,1024,85.82,350.7865,100.0,ok
convnext_tiny,64,27.82,0.3649,100.0,ok
convnext_tiny,96,27.82,0.8210,100.0,ok
convnext_tiny,128,27.82,1.4595,100.0,ok
convnext_tiny,160,27.82,2.2804,100.0,ok
convnext_tiny,224,27.82,4.4697,100.0,ok
