model,ep,precision,mean_ms,std_ms,p50_ms,p90_ms,p99_ms,min_ms,max_ms
convnext_tiny,CUDA,FP32,5.97727713859058,0.15090770570710463,5.963728501228616,6.15791940363124,6.373140551731921,5.6627250160090625,6.688653986202553
convnext_small,CUDA,FP32,9.68464944511652,0.26929275669505065,9.693047002656385,9.918496111640707,10.3304823700455,8.225995989050716,10.66484599141404
convnext_base,CUDA,FP32,13.917997959506465,0.3593232365276555,13.92176050285343,14.237602491630241,14.941695733868983,11.537168989889324,15.23213300970383
pvt_v2_b2,CUDA,FP32,11.593558645254234,0.740783648678955,11.655060996417888,12.428563990397379,13.267817501618993,9.888333996059373,13.351928006159142
pvt_v2_b3,CUDA,FP32,20.330602503818227,0.9260260235560037,20.237434990121983,21.323988991207443,23.57281197066186,17.63661199947819,25.564194016624242
pvt_v2_b5,CUDA,FP32,46.7899840004975,14.331919889413703,37.95058748801239,71.49450718425214,71.94102231558645,33.9145379839465,72.02499298728071
mobilevitv2_200,CUDA,FP32,19.31847400497645,9.715574456708651,20.745226502185687,29.640569805633277,30.669485076505225,6.218072026968002,30.913104012142867
convnext_tiny,CUDA,INT8,50.54440928870463,24.723468258120064,46.73257449758239,78.40196630568242,121.63479707058282,17.578138009412214,207.44016297976486
convnext_small,CUDA,INT8,119.61185810112511,51.88870472301908,98.40391299803741,194.37244360160548,288.0707655029253,71.49046700214967,375.50052502774633
convnext_base,CUDA,INT8,162.69161910560797,79.11336245931855,131.7174055002397,267.9750130017055,397.0969505055109,43.49912700126879,467.54172298824415
pvt_v2_b2,CUDA,INT8,161.1947121594858,88.46512225040192,119.73235450568609,307.7706043084617,383.41244227980496,68.73091400484554,390.2298499888275
pvt_v2_b3,CUDA,INT8,250.98550729439012,102.85788514268154,209.15243351191748,414.44855689769605,585.1091055743744,117.02887099818327,602.0992620033212
pvt_v2_b5,CUDA,INT8,306.17365935017006,189.63121607439794,276.0031759971753,509.2011334927519,1124.3357953458324,88.16353397560306,1226.4078020234592
mobilevitv2_200,CUDA,INT8,9.430364444415318,0.7112050577217949,9.730871999636292,10.107439587591216,10.377730868640356,6.9635219988413155,10.453827009769157
