model,ep,precision,mean_ms,std_ms,p50_ms,p90_ms,p99_ms,min_ms,max_ms
convnext_tiny,TRT,FP32,4.123817721119849,0.553253797735208,4.011814002296887,4.705805514822714,5.6051401342847385,3.5738589940592647,5.624159995932132
convnext_tiny,TRT,FP16,4.531847520993324,0.3729160842118223,4.46824700338766,4.941580901504494,5.116927833296359,3.5081239766441286,5.152005993295461
convnext_tiny,CUDA,FP32,4.922010868904181,0.06986340671297617,4.888681505690329,5.060842604143545,5.079920077114366,4.866008996032178,5.081954994238913
convnext_small,TRT,FP32,6.213671154837357,0.49220963349179603,5.995479499688372,7.26950719836168,7.558494286786299,5.942789022810757,7.748372998321429
convnext_small,TRT,FP16,5.855771615169942,0.6966206636906829,5.711685502319597,6.974677587277256,7.043749061122071,4.758700990350917,7.080463983584195
convnext_small,CUDA,FP32,8.220582326175645,0.06328195617036145,8.192607492674142,8.351109994691797,8.374337571440265,8.1442859955132,8.404777006944641
convnext_base,TRT,FP32,8.695851514785318,0.6625690227703607,8.440469508059323,8.671123196836561,10.908125699206721,8.401699014939368,10.981872997945175
convnext_base,TRT,FP16,5.5820481409318745,0.9071497138072776,5.08513800741639,7.32874239620287,7.662639897898771,4.738019983051345,11.162637994857505
convnext_base,CUDA,FP32,11.585339345037937,0.0785225110977762,11.568670510314405,11.608544006594457,11.94746806693729,11.508187017170712,12.005455995677039
pvt_v2_b2,TRT,FP32,6.408989496121649,1.4375443064843638,6.1948595102876425,8.340306096943095,9.51189159968635,5.0473089795559645,9.707018005428836
pvt_v2_b2,TRT,FP16,5.415043434040854,0.7069933867939145,5.136724008480087,6.551936382311396,6.789819072000681,4.405768006108701,6.999786011874676
pvt_v2_b2,CUDA,FP32,10.537127399875317,0.16658338034641967,10.521504009375349,10.71807430125773,10.956583142979069,10.241509997285903,11.898947996087372
pvt_v2_b3,TRT,FP32,8.283323378564091,0.30166062076437095,8.171521985786967,8.3487193856854,9.770038637507241,8.103214990114793,9.826063993386924
pvt_v2_b3,TRT,FP16,7.3265902837738395,0.8263665560046406,7.037194503936917,9.055462109972723,9.106516948668286,6.640779989538714,9.122884017415345
pvt_v2_b3,CUDA,FP32,18.650737655261764,0.1824204801408694,18.661223497474566,18.893753507290967,19.078236366040073,18.055073014693335,19.225866999477148
pvt_v2_b5,TRT,FP32,14.194264754041797,0.05370221741577515,14.18112100509461,14.212088394560851,14.391762580780778,14.136431011138484,14.39512797514908
pvt_v2_b5,TRT,FP16,11.65953465475468,0.39875446863076264,11.46920199971646,12.231714400695637,12.95271439186763,11.377023009117693,13.113976980093867
pvt_v2_b5,CUDA,FP32,38.20654816066963,0.3063325518870223,38.20480449940078,38.533972497680224,38.869638902833685,36.873848002869636,39.16970099089667
mobilevitv2_200,TRT,FP32,5.293409021105617,0.9326024771165696,5.2718379884026945,6.712698802584782,6.778485496470239,3.9285780221689492,6.858178996481001
mobilevitv2_200,TRT,FP16,5.046726948203286,0.8819537375550062,5.016370007069781,6.518546887673438,6.623277447652069,3.8661090075038373,6.942592008272186
mobilevitv2_200,CUDA,FP32,7.376003049139399,0.39833652280437815,7.195944504928775,8.219490601914003,8.24443654564675,6.982816994423047,8.294315979583189
