category,source,model,precision,mean_ms_15W,mean_ms_25W,mean_ms_MAXN_SUPER,fps_15W,fps_25W,fps_MAXN_SUPER,p99_ms_15W,p99_ms_25W,p99_ms_MAXN_SUPER,slowdown_vs_MAXN_15W,slowdown_vs_MAXN_25W,slowdown_vs_MAXN_MAXN_SUPER,fps_per_watt_15W,fps_per_watt_25W,fps_per_watt_MAXN_SUPER,fps_cv_across_modes,rank1
baselines,trt,convnext_tiny,fp16,2.5953,2.0372,1.9486,384.7440,490.1310,512.3030,2.6001,2.0417,1.9522,1.3319,1.0455,1.0000,50.5651,39.6508,38.0672,0.1474,
baselines,trt,deit3_base,fp16,4.1606,3.5283,3.4630,240.1400,283.1560,288.4910,4.1680,3.5366,3.4700,1.2014,1.0189,1.0000,31.5605,22.9069,21.4366,0.0980,0.5834
baselines,trt,deit3_base,int8,4.1619,3.5238,3.4605,240.0580,283.5500,288.7050,4.1689,3.5312,3.4712,1.2027,1.0183,1.0000,31.5497,22.9388,21.4525,0.0987,0.5834
baselines,trt,deit3_small,fp16,1.6804,1.3239,1.2697,593.8870,753.6940,785.8330,1.6880,1.3296,1.2742,1.3235,1.0427,1.0000,78.0518,60.9727,58.3921,0.1446,0.5515
baselines,trt,pvt_v2_b2,fp16,3.8389,2.9122,2.7365,260.2210,342.9990,365.0550,3.8462,2.9180,2.7417,1.4029,1.0642,1.0000,34.1996,27.7481,27.1258,0.1712,
baselines,trt,resnet200d,fp16,4.5071,3.5684,3.4151,221.7050,280.0150,292.5490,4.5127,3.5732,3.4199,1.3198,1.0449,1.0000,29.1376,22.6528,21.7381,0.1428,
baselines,trt,resnet50d,fp16,1.5280,1.2349,1.1911,652.9870,807.8600,837.2840,1.5312,1.2378,1.1937,1.2828,1.0367,1.0000,85.8190,65.3546,62.2152,0.1292,
baselines,trt,swin_base,fp16,4.9969,4.1716,4.0584,199.9890,239.5220,246.2340,5.0252,4.1831,4.0693,1.2313,1.0279,1.0000,26.2836,19.3770,18.2967,0.1093,0.5260
baselines,trt,swin_tiny,fp16,2.1311,1.7356,1.6648,468.4280,575.1030,599.5030,2.1365,1.7407,1.6689,1.2801,1.0425,1.0000,61.5633,46.5249,44.5467,0.1273,0.5335
baselines,trt,swin_tiny,int8,2.1274,1.7234,1.6582,469.2340,579.1770,601.9060,2.1374,1.7302,1.6644,1.2829,1.0393,1.0000,61.6692,46.8545,44.7252,0.1290,0.5335
kd_cvlface,trt,swin_tiny_kd_a0,fp16,2.1510,1.7184,1.6582,464.0890,580.8340,601.9000,2.1580,1.7239,1.6636,1.2972,1.0363,1.0000,60.9930,46.9886,44.7248,0.1352,
kd_petalface,trt,deit3_base_kd_a01,fp16,4.1589,3.5233,3.4693,240.2570,283.5660,287.9650,4.1660,3.5312,3.4768,1.1988,1.0156,1.0000,31.5758,22.9400,21.3975,0.0974,
pruned,trt,deit3_base_lora_h10,fp16,4.0571,3.4524,3.3861,246.2770,289.4060,295.0730,4.0640,3.4595,3.3931,1.1981,1.0196,1.0000,32.3670,23.4125,21.9257,0.0964,
pruned_v2,trt,swin_tiny_kd_blk2,fp16,1.8692,1.4990,1.4405,533.9500,665.8480,692.8350,1.8807,1.5062,1.4465,1.2976,1.0405,1.0000,70.1745,53.8661,51.4818,0.1348,
