model,category,precision,power_mode_id,power_mode_label,wattage_budget,mean_ms,median_ms,p99_ms,throughput_fps
swin_tiny,baselines,fp16,0,15W,15,2.13385,2.13379,2.13965,467.899
swin_base,baselines,fp16,0,15W,15,4.98541,4.98535,4.99805,200.437
deit3_small,baselines,fp16,0,15W,15,1.67557,1.67554,1.68311,595.497
deit3_base,baselines,fp16,0,15W,15,4.16268,4.1626,4.16968,240.029
resnet50d,baselines,fp16,0,15W,15,1.52213,1.52209,1.52521,655.387
resnet200d,baselines,fp16,0,15W,15,4.50315,4.50293,4.5083,221.885
swin_tiny,baselines,int8,0,15W,15,2.13158,2.1311,2.14136,468.301
deit3_base,baselines,int8,0,15W,15,4.16525,4.16516,4.17267,239.867
swin_tiny_kd_a0,kd_cvlface,fp16,0,15W,15,2.15055,2.15063,2.15814,464.218
deit3_base_kd_a01,kd_petalface,fp16,0,15W,15,4.15732,4.15723,4.16479,240.323
swin_tiny_kd_blk2,pruned_v2,fp16,0,15W,15,1.87095,1.87036,1.88281,533.409
deit3_base_lora_h10,pruned,fp16,0,15W,15,4.05587,4.05591,4.06262,246.347
swin_tiny,baselines,fp16,1,25W,25,1.72911,1.729,1.73315,577.336
swin_base,baselines,fp16,1,25W,25,4.1796,4.1792,4.19238,239.083
deit3_small,baselines,fp16,1,25W,25,1.32155,1.32147,1.32678,754.747
deit3_base,baselines,fp16,1,25W,25,3.52741,3.52734,3.53613,283.229
resnet50d,baselines,fp16,1,25W,25,1.23488,1.23486,1.23779,807.645
resnet200d,baselines,fp16,1,25W,25,3.54227,3.54199,3.54736,282.045
swin_tiny,baselines,int8,1,25W,25,1.72008,1.71985,1.72607,580.276
deit3_base,baselines,int8,1,25W,25,3.52316,3.52295,3.53125,283.572
swin_tiny_kd_a0,kd_cvlface,fp16,1,25W,25,1.72602,1.72607,1.73145,578.247
deit3_base_kd_a01,kd_petalface,fp16,1,25W,25,3.52584,3.52588,3.53418,283.385
swin_tiny_kd_blk2,pruned_v2,fp16,1,25W,25,1.49465,1.49438,1.5022,667.594
deit3_base_lora_h10,pruned,fp16,1,25W,25,3.44887,3.44873,3.45642,289.703
swin_tiny,baselines,fp16,2,MAXN_SUPER,25,1.66661,1.6665,1.67139,598.828
swin_base,baselines,fp16,2,MAXN_SUPER,25,4.06004,4.06006,4.07031,246.102
deit3_small,baselines,fp16,2,MAXN_SUPER,25,1.27037,1.27039,1.27515,785.158
deit3_base,baselines,fp16,2,MAXN_SUPER,25,3.46674,3.4668,3.47412,288.186
resnet50d,baselines,fp16,2,MAXN_SUPER,25,1.20499,1.2049,1.20825,827.61
resnet200d,baselines,fp16,2,MAXN_SUPER,25,3.4267,3.42676,3.43158,291.544
swin_tiny,baselines,int8,2,MAXN_SUPER,25,1.65929,1.65918,1.66504,601.609
deit3_base,baselines,int8,2,MAXN_SUPER,25,3.46438,3.46436,3.47168,288.375
swin_tiny_kd_a0,kd_cvlface,fp16,2,MAXN_SUPER,25,1.65625,1.65625,1.66162,602.729
deit3_base_kd_a01,kd_petalface,fp16,2,MAXN_SUPER,25,3.46153,3.46143,3.46924,288.611
swin_tiny_kd_blk2,pruned_v2,fp16,2,MAXN_SUPER,25,1.43629,1.43616,1.44238,694.695
deit3_base_lora_h10,pruned,fp16,2,MAXN_SUPER,25,3.38162,3.38135,3.38892,295.464
