model,category,precision,power_mode_id,power_mode_label,wattage_budget,mean_ms,median_ms,p99_ms,throughput_fps,backend
swin_tiny,baselines,fp16,0,15W,15,2.13109,2.1311,2.13647,468.428,TRT_NATIVE
swin_base,baselines,fp16,0,15W,15,4.99687,4.99658,5.02521,199.989,TRT_NATIVE
deit3_small,baselines,fp16,0,15W,15,1.68045,1.68042,1.68799,593.887,TRT_NATIVE
deit3_base,baselines,fp16,0,15W,15,4.1606,4.16064,4.16797,240.14,TRT_NATIVE
resnet50d,baselines,fp16,0,15W,15,1.52804,1.52808,1.53125,652.987,TRT_NATIVE
resnet200d,baselines,fp16,0,15W,15,4.50709,4.50708,4.5127,221.705,TRT_NATIVE
swin_tiny,baselines,int8,0,15W,15,2.12739,2.12671,2.13745,469.234,TRT_NATIVE
deit3_base,baselines,int8,0,15W,15,4.16185,4.16187,4.16895,240.058,TRT_NATIVE
swin_tiny_kd_a0,kd_cvlface,fp16,0,15W,15,2.15097,2.151,2.15796,464.089,TRT_NATIVE
deit3_base_kd_a01,kd_petalface,fp16,0,15W,15,4.15885,4.15869,4.16602,240.257,TRT_NATIVE
swin_tiny_kd_blk2,pruned_v2,fp16,0,15W,15,1.86923,1.86853,1.88074,533.95,TRT_NATIVE
deit3_base_lora_h10,pruned,fp16,0,15W,15,4.05707,4.05713,4.06396,246.277,TRT_NATIVE
convnext_tiny,baselines,fp16,0,15W,15,2.59529,2.59521,2.6001,384.744,TRT_NATIVE
pvt_v2_b2,baselines,fp16,0,15W,15,3.83893,3.83887,3.84619,260.221,TRT_NATIVE
swin_tiny,baselines,fp16,1,25W,25,1.73557,1.73535,1.74072,575.103,TRT_NATIVE
swin_base,baselines,fp16,1,25W,25,4.17159,4.17139,4.18311,239.522,TRT_NATIVE
deit3_small,baselines,fp16,1,25W,25,1.32389,1.32379,1.32959,753.694,TRT_NATIVE
deit3_base,baselines,fp16,1,25W,25,3.52833,3.52832,3.53662,283.156,TRT_NATIVE
resnet50d,baselines,fp16,1,25W,25,1.23491,1.23486,1.23779,807.86,TRT_NATIVE
resnet200d,baselines,fp16,1,25W,25,3.56835,3.56836,3.57324,280.015,TRT_NATIVE
swin_tiny,baselines,int8,1,25W,25,1.7234,1.72314,1.73022,579.177,TRT_NATIVE
deit3_base,baselines,int8,1,25W,25,3.52382,3.52393,3.53125,283.55,TRT_NATIVE
swin_tiny_kd_a0,kd_cvlface,fp16,1,25W,25,1.7184,1.71848,1.72388,580.834,TRT_NATIVE
deit3_base_kd_a01,kd_petalface,fp16,1,25W,25,3.52327,3.52332,3.53125,283.566,TRT_NATIVE
swin_tiny_kd_blk2,pruned_v2,fp16,1,25W,25,1.49895,1.49878,1.50623,665.848,TRT_NATIVE
deit3_base_lora_h10,pruned,fp16,1,25W,25,3.45243,3.45239,3.45947,289.406,TRT_NATIVE
convnext_tiny,baselines,fp16,1,25W,25,2.03721,2.03711,2.04175,490.131,TRT_NATIVE
pvt_v2_b2,baselines,fp16,1,25W,25,2.91216,2.91211,2.91797,342.999,TRT_NATIVE
swin_tiny,baselines,fp16,2,MAXN_SUPER,25,1.66479,1.66479,1.66895,599.503,TRT_NATIVE
swin_base,baselines,fp16,2,MAXN_SUPER,25,4.05836,4.05811,4.06934,246.234,TRT_NATIVE
deit3_small,baselines,fp16,2,MAXN_SUPER,25,1.26972,1.26978,1.27417,785.833,TRT_NATIVE
deit3_base,baselines,fp16,2,MAXN_SUPER,25,3.46301,3.46289,3.47003,288.491,TRT_NATIVE
resnet50d,baselines,fp16,2,MAXN_SUPER,25,1.19115,1.19104,1.19373,837.284,TRT_NATIVE
resnet200d,baselines,fp16,2,MAXN_SUPER,25,3.41506,3.41504,3.41992,292.549,TRT_NATIVE
swin_tiny,baselines,int8,2,MAXN_SUPER,25,1.65821,1.65796,1.66443,601.906,TRT_NATIVE
deit3_base,baselines,int8,2,MAXN_SUPER,25,3.46054,3.4603,3.47119,288.705,TRT_NATIVE
swin_tiny_kd_a0,kd_cvlface,fp16,2,MAXN_SUPER,25,1.65822,1.6582,1.66357,601.9,TRT_NATIVE
deit3_base_kd_a01,kd_petalface,fp16,2,MAXN_SUPER,25,3.46932,3.46924,3.47681,287.965,TRT_NATIVE
swin_tiny_kd_blk2,pruned_v2,fp16,2,MAXN_SUPER,25,1.44054,1.44043,1.44653,692.835,TRT_NATIVE
deit3_base_lora_h10,pruned,fp16,2,MAXN_SUPER,25,3.38614,3.38623,3.39307,295.073,TRT_NATIVE
convnext_tiny,baselines,fp16,2,MAXN_SUPER,25,1.94861,1.94861,1.95215,512.303,TRT_NATIVE
pvt_v2_b2,baselines,fp16,2,MAXN_SUPER,25,2.73646,2.73633,2.7417,365.055,TRT_NATIVE
