model,family,precision,mean_ms,median_ms,p90_ms,p95_ms,p99_ms,throughput_fps,backend
resnet50d,resnet,fp32,2.14797,2.14722,2.15039,2.15112,2.16602,464.835,TRT_NATIVE
resnet50d,resnet,fp16,1.19075,1.19043,1.19238,1.19287,1.19409,837.481,TRT_NATIVE
resnet101d,resnet,fp32,3.72409,3.72363,3.72607,3.72705,3.72949,268.287,TRT_NATIVE
resnet101d,resnet,fp16,2.1054,2.10522,2.10742,2.10815,2.10986,474.334,TRT_NATIVE
resnet200d,resnet,fp32,6.06374,6.0625,6.06689,6.06836,6.07373,164.826,TRT_NATIVE
resnet200d,resnet,fp16,3.41758,3.41699,3.41992,3.4209,3.42334,292.326,TRT_NATIVE
deit3_small,deit3,fp32,2.42736,2.427,2.42944,2.43018,2.43262,411.48,TRT_NATIVE
deit3_small,deit3,fp16,1.34246,1.34247,1.34412,1.34473,1.34558,743.348,TRT_NATIVE
deit3_medium,deit3,fp32,3.58378,3.5835,3.58594,3.58691,3.58838,278.787,TRT_NATIVE
deit3_medium,deit3,fp16,1.91511,1.91492,1.91699,1.91748,1.91895,521.395,TRT_NATIVE
deit3_base,deit3,fp32,6.73413,6.73047,6.73633,6.73828,6.9812,148.425,TRT_NATIVE
deit3_base,deit3,fp16,3.4902,3.48926,3.49414,3.49561,3.50098,286.279,TRT_NATIVE
swin_tiny,swin,fp32,3.10182,3.10156,3.10645,3.10791,3.1106,322.095,TRT_NATIVE
swin_tiny,swin,fp16,1.66897,1.66895,1.67139,1.67212,1.67346,598.019,TRT_NATIVE
swin_small,swin,fp32,5.52627,5.52637,5.53296,5.53418,5.5376,180.85,TRT_NATIVE
swin_small,swin,fp16,2.90333,2.90283,2.90558,2.90637,2.90967,344.04,TRT_NATIVE
swin_base,swin,fp32,8.36274,8.3623,8.36914,8.37109,8.37598,119.533,TRT_NATIVE
swin_base,swin,fp16,4.14276,4.1416,4.146,4.14746,4.16406,241.223,TRT_NATIVE
convnext_tiny,convnext,fp32,3.30511,3.30493,3.30859,3.31006,3.3125,302.265,TRT_NATIVE
convnext_tiny,convnext,fp16,1.94975,1.94873,1.95093,1.95148,2.00366,512.145,TRT_NATIVE
convnext_small,convnext,fp32,5.84402,5.84375,5.84918,5.85071,5.85449,171.019,TRT_NATIVE
convnext_small,convnext,fp16,3.34845,3.3479,3.35059,3.35156,3.35742,298.387,TRT_NATIVE
convnext_base,convnext,fp32,8.67517,8.6748,8.68164,8.68433,8.68945,115.229,TRT_NATIVE
convnext_base,convnext,fp16,4.73273,4.73218,4.73486,4.73584,4.73926,211.152,TRT_NATIVE
pvt_v2_b2,pvt_v2,fp32,4.17539,4.17529,4.17969,4.18115,4.18408,239.332,TRT_NATIVE
pvt_v2_b2,pvt_v2,fp16,2.73699,2.73538,2.73877,2.74023,2.79736,364.987,TRT_NATIVE
pvt_v2_b3,pvt_v2,fp32,6.91026,6.91211,6.91797,6.91943,6.92285,144.653,TRT_NATIVE
pvt_v2_b3,pvt_v2,fp16,4.3683,4.36816,4.37158,4.37256,4.375,228.771,TRT_NATIVE
pvt_v2_b5,pvt_v2,fp32,12.3095,12.3105,12.3184,12.3203,12.3291,81.2168,TRT_NATIVE
pvt_v2_b5,pvt_v2,fp16,7.18516,7.18457,7.18945,7.19141,7.20044,139.121,TRT_NATIVE
mobilevitv2_200,mobilevit_v2,fp32,3.25384,3.25391,3.25879,3.26025,3.2627,307.03,TRT_NATIVE
mobilevitv2_200,mobilevit_v2,fp16,1.89653,1.89648,1.90088,1.90186,1.90356,526.363,TRT_NATIVE
