model,name,category,avg_ms
deit3_base_fp16,Reformatting CopyNode for Input Tensor 0 to node_conv2d,conv_embed,0.0387
deit3_base_fp16,node_conv2d,conv_embed,0.0805
deit3_base_fp16,dummy_shape_call__mye162886_0_myl2_0,other,0.0035
deit3_base_fp16,__myl_ResTraAddConCasMeaSubMulMeaAddSqrDivMulCasMulAdd_myl2_1,norm,0.0159
deit3_base_fp16,node_MatMul_12_myl2_2,linear,0.1075
deit3_base_fp16,__myl_TraSliSliSliResRes_myl2_3,attention,0.0089
deit3_base_fp16,_gemm_mha_v1_myl2_4,attention,0.0102
deit3_base_fp16,__myl_FcMulAdd_myl2_5,linear,0.0239
deit3_base_fp16,__myl_CasMeaSubMulMeaAddSqrDivMulCasMulAdd_myl2_6,norm,0.0087
deit3_base_fp16,__myl_FcMulCasErfCasAddMulMul_myl2_7,ffn,0.0728
deit3_base_fp16,__myl_FcMulAdd_myl2_8,linear,0.0651
deit3_base_fp16,__myl_CasMeaSubMulMeaAddSqrDivMulCasMulAdd_myl2_9,norm,0.0085
deit3_base_fp16,node_MatMul_71_myl2_10,linear,0.0516
deit3_base_fp16,__myl_TraSliSliSliResRes_myl2_11,attention,0.0084
deit3_base_fp16,_gemm_mha_v1_myl2_12,attention,0.0102
deit3_base_fp16,__myl_FcMulAdd_myl2_13,linear,0.0237
deit3_base_fp16,__myl_CasMeaSubMulMeaAddSqrDivMulCasMulAdd_myl2_14,norm,0.0078
deit3_base_fp16,__myl_FcMulCasErfCasAddMulMul_myl2_15,ffn,0.0723
deit3_base_fp16,__myl_FcMulAdd_myl2_16,linear,0.0651
deit3_base_fp16,__myl_CasMeaSubMulMeaAddSqrDivMulCasMulAdd_myl2_17,norm,0.0083
deit3_base_fp16,node_MatMul_127_myl2_18,linear,0.0516
deit3_base_fp16,__myl_TraSliSliSliResRes_myl2_19,attention,0.0084
deit3_base_fp16,_gemm_mha_v1_myl2_20,attention,0.0102
deit3_base_fp16,__myl_FcMulAdd_myl2_21,linear,0.0237
deit3_base_fp16,__myl_CasMeaSubMulMeaAddSqrDivMulCasMulAdd_myl2_22,norm,0.0079
deit3_base_fp16,__myl_FcMulCasErfCasAddMulMul_myl2_23,ffn,0.0722
deit3_base_fp16,__myl_FcMulAdd_myl2_24,linear,0.065
deit3_base_fp16,__myl_CasMeaSubMulMeaAddSqrDivMulCasMulAdd_myl2_25,norm,0.0084
deit3_base_fp16,node_MatMul_183_myl2_26,linear,0.0514
deit3_base_fp16,__myl_TraSliSliSliResRes_myl2_27,attention,0.0084
deit3_base_fp16,_gemm_mha_v1_myl2_28,attention,0.0102
deit3_base_fp16,__myl_FcMulAdd_myl2_29,linear,0.0237
deit3_base_fp16,__myl_CasMeaSubMulMeaAddSqrDivMulCasMulAdd_myl2_30,norm,0.0078
deit3_base_fp16,__myl_FcMulCasErfCasAddMulMul_myl2_31,ffn,0.0727
deit3_base_fp16,__myl_FcMulAdd_myl2_32,linear,0.0651
deit3_base_fp16,__myl_CasMeaSubMulMeaAddSqrDivMulCasMulAdd_myl2_33,norm,0.0083
