model,total_ms,attention_ms,attention_pct,ffn_ms,ffn_pct,linear_ms,linear_pct,norm_ms,norm_pct,conv_embed_ms,conv_embed_pct,reformat_ms,reformat_pct,other_ms,other_pct,ffn_all_ms,ffn_all_pct,attn_real_pct
deit3_base_fp16,3.164,0.223,7.0,0.87,27.5,1.741,55.0,0.202,6.4,0.119,3.8,0.0,0.0,0.009,0.3,2.611,82.5,7.0
deit3_base_kd_petalface_fp16,3.209,0.224,7.0,0.882,27.5,1.77,55.2,0.203,6.3,0.121,3.8,0.0,0.0,0.01,0.3,2.652,82.6,7.0
deit3_base_pruned_heads10_fp16,3.144,0.219,7.0,0.749,23.8,1.82,57.9,0.211,6.7,0.118,3.7,0.017,0.5,0.01,0.3,2.569,81.7,7.0
deit3_medium_fp16,2.144,0.196,9.1,0.122,5.7,1.44,67.2,0.26,12.1,0.116,5.4,0.0,0.0,0.01,0.5,1.562,72.9,9.1
deit3_small_fp16,1.716,0.208,12.1,0.398,23.2,0.772,45.0,0.236,13.7,0.092,5.4,0.0,0.0,0.01,0.6,1.17,68.2,12.1
resnet101d_fp16,2.269,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.244,98.9,0.008,0.4,0.017,0.7,0.0,0.0,0.0
resnet200d_fp16,3.893,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.867,99.3,0.01,0.3,0.016,0.4,0.0,0.0,0.0
resnet50d_fp16,1.306,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.282,98.2,0.007,0.6,0.016,1.2,0.0,0.0,0.0
swin_base_fp16,4.519,1.21,26.8,1.139,25.2,1.398,30.9,0.497,11.0,0.256,5.7,0.0,0.0,0.019,0.4,2.537,56.1,26.8
swin_small_fp16,4.871,1.314,27.0,0.509,10.5,2.155,44.2,0.627,12.9,0.244,5.0,0.0,0.0,0.022,0.4,2.664,54.7,27.0
swin_tiny_fp16,2.275,0.69,30.3,0.338,14.9,0.789,34.7,0.269,11.8,0.17,7.5,0.0,0.0,0.02,0.9,1.127,49.5,30.3
swin_tiny_kd_cvlface_fp16,1.932,0.589,30.5,0.415,21.5,0.524,27.1,0.241,12.5,0.145,7.5,0.0,0.0,0.018,0.9,0.939,48.6,30.5
swin_tiny_pruned_blocks2_fp16,1.703,0.528,31.0,0.36,21.1,0.453,26.6,0.202,11.9,0.142,8.3,0.0,0.0,0.018,1.1,0.813,47.7,31.0
