architecture,variant,prune_method,precision,params_M,size_MB,rank_at_1,compression_ratio,accuracy_drop,model_label,method_label
Swin-T,Baseline,None,FP32,27.5,106.9,0.534,1.0,0.0,Swin-T (Baseline),Original FP32
Swin-T,Baseline,None,FP16,27.5,54.1,0.534,1.98,0.0,Swin-T (Baseline),Original FP16
Swin-T,Baseline,None,INT8,27.5,28.3,0.534,3.78,0.0,Swin-T (Baseline),Original INT8
Swin-T,KD Best (α=0.0),None,FP32,27.5,106.9,0.616,1.0,0.0,Swin-T (KD Best (α=0.0)),Original FP32
Swin-T,KD Best (α=0.0),None,FP16,27.5,54.1,0.616,1.98,0.0,Swin-T (KD Best (α=0.0)),Original FP16
Swin-T,KD Best (α=0.0),None,INT8,27.5,28.3,0.616,3.78,0.0,Swin-T (KD Best (α=0.0)),Original INT8
DeiT3-S,Baseline,None,FP32,21.7,83.3,0.552,1.0,0.0,DeiT3-S (Baseline),Original FP32
DeiT3-S,Baseline,None,FP16,21.7,42.0,0.552,1.98,0.0,DeiT3-S (Baseline),Original FP16
DeiT3-S,Baseline,None,INT8,21.7,22.4,0.552,3.72,0.0,DeiT3-S (Baseline),Original INT8
Swin-B,Baseline,None,FP32,86.7,334.9,0.526,1.0,0.0,Swin-B (Baseline),Original FP32
Swin-B,Baseline,None,FP16,86.7,168.6,0.526,1.99,0.0,Swin-B (Baseline),Original FP16
Swin-B,Baseline,None,INT8,86.7,87.2,0.526,3.84,0.0,Swin-B (Baseline),Original INT8
DeiT3-B,LoRA,None,FP32,85.8,327.7,0.583,1.0,0.0,DeiT3-B (LoRA),Original FP32
DeiT3-B,LoRA,None,FP16,85.8,164.2,0.583,2.0,0.0,DeiT3-B (LoRA),Original FP16
DeiT3-B,LoRA,None,INT8,85.8,84.6,0.583,3.87,0.0,DeiT3-B (LoRA),Original INT8
DeiT3-B,KD CVLFace (α=0.7),None,FP32,85.8,327.7,0.581,1.0,0.0,DeiT3-B (KD CVLFace (α=0.7)),Original FP32
DeiT3-B,KD CVLFace (α=0.7),None,FP16,85.8,164.2,0.581,2.0,0.0,DeiT3-B (KD CVLFace (α=0.7)),Original FP16
DeiT3-B,KD CVLFace (α=0.7),None,INT8,85.8,84.6,0.581,3.87,0.0,DeiT3-B (KD CVLFace (α=0.7)),Original INT8
DeiT3-B,KD Best (α=0.1),None,FP32,85.8,327.7,0.593,1.0,0.0,DeiT3-B (KD Best (α=0.1)),Original FP32
