architecture,variant,model_label,method,size_MB,compression_ratio,rank_at_1,params_M
Swin-T,Baseline,Swin-T (Baseline),Original FP32,106.9,1.0,0.534,27.5
Swin-T,Baseline,Swin-T (Baseline),Original FP16,54.1,1.98,0.534,27.5
Swin-T,Baseline,Swin-T (Baseline),Original INT8,28.3,3.78,0.534,27.5
Swin-T,KD Best (α=0.0),Swin-T (KD Best (α=0.0)),Original FP32,106.9,1.0,0.616,27.5
Swin-T,KD Best (α=0.0),Swin-T (KD Best (α=0.0)),Original FP16,54.1,1.98,0.616,27.5
Swin-T,KD Best (α=0.0),Swin-T (KD Best (α=0.0)),Original INT8,28.3,3.78,0.616,27.5
DeiT3-S,Baseline,DeiT3-S (Baseline),Original FP32,83.3,1.0,0.552,21.7
DeiT3-S,Baseline,DeiT3-S (Baseline),Original FP16,42.0,1.98,0.552,21.7
DeiT3-S,Baseline,DeiT3-S (Baseline),Original INT8,22.4,3.72,0.552,21.7
Swin-B,Baseline,Swin-B (Baseline),Original FP32,334.9,1.0,0.526,86.7
Swin-B,Baseline,Swin-B (Baseline),Original FP16,168.6,1.99,0.526,86.7
Swin-B,Baseline,Swin-B (Baseline),Original INT8,87.2,3.84,0.526,86.7
DeiT3-B,LoRA,DeiT3-B (LoRA),Original FP32,327.7,1.0,0.583,85.8
DeiT3-B,LoRA,DeiT3-B (LoRA),Original FP16,164.2,2.0,0.583,85.8
DeiT3-B,LoRA,DeiT3-B (LoRA),Original INT8,84.6,3.87,0.583,85.8
DeiT3-B,KD CVLFace (α=0.7),DeiT3-B (KD CVLFace (α=0.7)),Original FP32,327.7,1.0,0.581,85.8
DeiT3-B,KD CVLFace (α=0.7),DeiT3-B (KD CVLFace (α=0.7)),Original FP16,164.2,2.0,0.581,85.8
DeiT3-B,KD CVLFace (α=0.7),DeiT3-B (KD CVLFace (α=0.7)),Original INT8,84.6,3.87,0.581,85.8
DeiT3-B,KD Best (α=0.1),DeiT3-B (KD Best (α=0.1)),Original FP32,327.7,1.0,0.593,85.8
DeiT3-B,KD Best (α=0.1),DeiT3-B (KD Best (α=0.1)),Original FP16,164.2,2.0,0.593,85.8
DeiT3-B,KD Best (α=0.1),DeiT3-B (KD Best (α=0.1)),Original INT8,84.6,3.87,0.593,85.8
DeiT3-B,LoRA,DeiT3-B (LoRA),Pruned 10% heads FP32,317.2,1.03,0.5896,84.7
DeiT3-B,LoRA,DeiT3-B (LoRA),Pruned 10% heads FP16,158.9,2.06,0.5896,84.7
DeiT3-B,LoRA,DeiT3-B (LoRA),Pruned 10% heads INT8,82.0,4.0,0.5864,84.7
DeiT3-B,LoRA,DeiT3-B (LoRA),Pruned 25% heads FP32,300.6,1.09,0.5655,80.4
DeiT3-B,LoRA,DeiT3-B (LoRA),Pruned 25% heads FP16,150.7,2.17,0.5655,80.4
DeiT3-B,LoRA,DeiT3-B (LoRA),Pruned 25% heads INT8,77.8,4.21,0.5638,80.4
DeiT3-B,LoRA,DeiT3-B (LoRA),Pruned 50% heads FP32,273.6,1.2,0.5131,73.3
DeiT3-B,LoRA,DeiT3-B (LoRA),Pruned 50% heads FP16,137.1,2.39,0.5131,73.3
DeiT3-B,LoRA,DeiT3-B (LoRA),Pruned 50% heads INT8,71.0,4.62,0.5099,73.3
DeiT3-B,LoRA,DeiT3-B (LoRA),Pruned 3 blocks FP32,246.4,1.33,0.5464,66.2
DeiT3-B,LoRA,DeiT3-B (LoRA),Pruned 3 blocks FP16,123.5,2.65,0.5464,66.2
DeiT3-B,LoRA,DeiT3-B (LoRA),Pruned 3 blocks INT8,64.0,5.12,0.5443,66.2
DeiT3-B,KD CVLFace (α=0.7),DeiT3-B (KD CVLFace (α=0.7)),Pruned 25% heads FP32,300.6,1.09,0.5676,80.4
DeiT3-B,KD CVLFace (α=0.7),DeiT3-B (KD CVLFace (α=0.7)),Pruned 25% heads FP16,150.7,2.17,0.5679,80.4
DeiT3-B,KD CVLFace (α=0.7),DeiT3-B (KD CVLFace (α=0.7)),Pruned 25% heads INT8,77.8,4.21,0.5646,80.4
Swin-B,LoRA-source†,Swin-B (LoRA-source†),Pruned 10% heads FP32,327.2,1.02,0.4965,87.1
Swin-B,LoRA-source†,Swin-B (LoRA-source†),Pruned 10% heads FP16,164.8,2.03,0.4968,87.1
Swin-B,LoRA-source†,Swin-B (LoRA-source†),Pruned 10% heads INT8,85.1,3.94,0.497,87.1
Swin-B,LoRA-source†,Swin-B (LoRA-source†),Pruned 25% heads FP32,312.6,1.07,0.4665,83.4
Swin-B,LoRA-source†,Swin-B (LoRA-source†),Pruned 25% heads FP16,157.5,2.13,0.4662,83.4
Swin-B,LoRA-source†,Swin-B (LoRA-source†),Pruned 25% heads INT8,81.2,4.12,0.4659,83.4
Swin-B,LoRA-source†,Swin-B (LoRA-source†),Pruned 5 blocks FP32,273.9,1.22,0.5748,73.3
Swin-B,LoRA-source†,Swin-B (LoRA-source†),Pruned 5 blocks FP16,137.9,2.43,0.5748,73.3
Swin-B,LoRA-source†,Swin-B (LoRA-source†),Pruned 5 blocks INT8,71.2,4.7,0.5719,73.3
Swin-T,KD (α=0.7),Swin-T (KD (α=0.7)),Pruned 10% heads FP32,105.3,1.02,0.5051,28.9
Swin-T,KD (α=0.7),Swin-T (KD (α=0.7)),Pruned 10% heads FP16,53.2,2.01,0.5048,28.9
Swin-T,KD (α=0.7),Swin-T (KD (α=0.7)),Pruned 10% heads INT8,27.8,3.85,0.5035,28.9
Swin-T,Baseline,Swin-T (Baseline),Pruned 10% heads FP32,105.3,1.02,0.4995,27.09
Swin-T,Baseline,Swin-T (Baseline),Pruned 10% heads FP16,53.2,2.01,0.4995,27.09
Swin-T,Baseline,Swin-T (Baseline),Pruned 10% heads INT8,27.8,3.85,0.4992,27.09
Swin-T,Baseline,Swin-T (Baseline),Pruned 25% heads FP32,101.2,1.06,0.4646,26.05
Swin-T,Baseline,Swin-T (Baseline),Pruned 25% heads FP16,51.2,2.09,0.4646,26.05
Swin-T,Baseline,Swin-T (Baseline),Pruned 25% heads INT8,26.7,4.0,0.4654,26.05
Swin-T,Baseline,Swin-T (Baseline),Pruned 2 blocks FP32,93.1,1.15,0.544,23.96
Swin-T,Baseline,Swin-T (Baseline),Pruned 2 blocks FP16,47.0,2.27,0.544,23.96
Swin-T,Baseline,Swin-T (Baseline),Pruned 2 blocks INT8,24.6,4.35,0.5432,23.96
Swin-T,KD Best (α=0.0),Swin-T (KD Best (α=0.0)),Pruned 10% heads FP32,105.3,1.02,0.4032,27.09
Swin-T,KD Best (α=0.0),Swin-T (KD Best (α=0.0)),Pruned 10% heads FP16,53.2,2.01,0.4037,27.09
Swin-T,KD Best (α=0.0),Swin-T (KD Best (α=0.0)),Pruned 10% heads INT8,27.8,3.85,0.4029,27.09
Swin-T,KD Best (α=0.0),Swin-T (KD Best (α=0.0)),Pruned 25% heads FP32,101.2,1.06,0.3801,26.05
Swin-T,KD Best (α=0.0),Swin-T (KD Best (α=0.0)),Pruned 25% heads FP16,51.2,2.09,0.3809,26.05
Swin-T,KD Best (α=0.0),Swin-T (KD Best (α=0.0)),Pruned 25% heads INT8,26.7,4.0,0.3814,26.05
Swin-T,KD Best (α=0.0),Swin-T (KD Best (α=0.0)),Pruned 2 blocks FP32,93.1,1.15,0.5829,23.96
Swin-T,KD Best (α=0.0),Swin-T (KD Best (α=0.0)),Pruned 2 blocks FP16,47.0,2.27,0.5826,23.96
Swin-T,KD Best (α=0.0),Swin-T (KD Best (α=0.0)),Pruned 2 blocks INT8,24.6,4.35,0.5832,23.96
DeiT3-S,Baseline,DeiT3-S (Baseline),Pruned 10% heads FP32,80.6,1.03,0.5644,20.92
DeiT3-S,Baseline,DeiT3-S (Baseline),Pruned 10% heads FP16,40.7,2.05,0.5649,20.92
DeiT3-S,Baseline,DeiT3-S (Baseline),Pruned 10% heads INT8,21.7,3.84,0.5646,20.92
DeiT3-S,Baseline,DeiT3-S (Baseline),Pruned 25% heads FP32,76.5,1.09,0.5515,19.84
DeiT3-S,Baseline,DeiT3-S (Baseline),Pruned 25% heads FP16,38.6,2.16,0.552,19.84
DeiT3-S,Baseline,DeiT3-S (Baseline),Pruned 25% heads INT8,20.7,4.02,0.5416,19.84
DeiT3-S,Baseline,DeiT3-S (Baseline),Pruned 2 blocks FP32,69.6,1.2,0.4981,18.06
DeiT3-S,Baseline,DeiT3-S (Baseline),Pruned 2 blocks FP16,35.1,2.37,0.4981,18.06
DeiT3-S,Baseline,DeiT3-S (Baseline),Pruned 2 blocks INT8,18.9,4.41,0.4984,18.06
Swin-B,Baseline,Swin-B (Baseline),Pruned 10% heads FP32,327.2,1.02,0.4874,84.75
Swin-B,Baseline,Swin-B (Baseline),Pruned 10% heads FP16,164.7,2.03,0.4874,84.75
Swin-B,Baseline,Swin-B (Baseline),Pruned 10% heads INT8,85.1,3.94,0.4877,84.75
Swin-B,Baseline,Swin-B (Baseline),Pruned 25% heads FP32,312.7,1.07,0.4541,81.0
Swin-B,Baseline,Swin-B (Baseline),Pruned 25% heads FP16,157.5,2.13,0.4541,81.0
Swin-B,Baseline,Swin-B (Baseline),Pruned 25% heads INT8,81.2,4.12,0.4528,81.0
Swin-B,Baseline,Swin-B (Baseline),Pruned 5 blocks FP32,273.9,1.22,0.5528,70.95
Swin-B,Baseline,Swin-B (Baseline),Pruned 5 blocks FP16,137.9,2.43,0.5534,70.95
Swin-B,Baseline,Swin-B (Baseline),Pruned 5 blocks INT8,71.2,4.7,0.5542,70.95
DeiT3-B,KD Best (α=0.1),DeiT3-B (KD Best (α=0.1)),Pruned 10% heads FP32,317.2,1.03,0.5928,82.94
DeiT3-B,KD Best (α=0.1),DeiT3-B (KD Best (α=0.1)),Pruned 10% heads FP16,158.9,2.06,0.5928,82.94
DeiT3-B,KD Best (α=0.1),DeiT3-B (KD Best (α=0.1)),Pruned 10% heads INT8,82.0,4.0,0.5907,82.94
DeiT3-B,KD Best (α=0.1),DeiT3-B (KD Best (α=0.1)),Pruned 25% heads FP32,300.6,1.09,0.5652,78.61
DeiT3-B,KD Best (α=0.1),DeiT3-B (KD Best (α=0.1)),Pruned 25% heads FP16,150.7,2.17,0.5655,78.61
DeiT3-B,KD Best (α=0.1),DeiT3-B (KD Best (α=0.1)),Pruned 25% heads INT8,77.8,4.21,0.5657,78.61
DeiT3-B,KD Best (α=0.1),DeiT3-B (KD Best (α=0.1)),Pruned 3 blocks FP32,246.4,1.33,0.5491,64.43
DeiT3-B,KD Best (α=0.1),DeiT3-B (KD Best (α=0.1)),Pruned 3 blocks FP16,123.5,2.65,0.5491,64.43
DeiT3-B,KD Best (α=0.1),DeiT3-B (KD Best (α=0.1)),Pruned 3 blocks INT8,64.0,5.12,0.5477,64.43
