model,precision,params_M,size_MB,rank@1,rank@2,rank@3,rank@4,rank@5,auc,mAP,eer,tpr_at_fpr_1pct,tpr_at_fpr_5pct
deit3_base_lora-heads_0.10,FP32,84.7,317.2,0.5896,0.6379,0.6642,0.6829,0.7012,0.973356,0.642794,0.07779,0.809549,0.902092
deit3_base_lora-heads_0.10,FP16,84.7,158.9,0.5896,0.6376,0.6642,0.6832,0.7009,0.973353,0.642756,0.077772,0.809818,0.902629
deit3_base_lora-heads_0.10,INT8,84.7,82.0,0.5864,0.6341,0.6639,0.6813,0.6988,0.972884,0.640225,0.079131,0.80633,0.899946
deit3_base_lora-heads_0.25,FP32,80.4,300.6,0.5655,0.6202,0.6486,0.6711,0.6832,0.970358,0.622915,0.081009,0.791309,0.893777
deit3_base_lora-heads_0.25,FP16,80.4,150.7,0.5655,0.6202,0.6486,0.6706,0.6837,0.970355,0.622907,0.080825,0.791309,0.893777
deit3_base_lora-heads_0.25,INT8,80.4,77.8,0.5638,0.6188,0.6467,0.6668,0.6816,0.969832,0.621053,0.082618,0.78809,0.892704
deit3_base_lora-heads_0.50,FP32,73.3,273.6,0.5131,0.5687,0.5992,0.6231,0.6376,0.963845,0.573307,0.094421,0.756706,0.86132
deit3_base_lora-heads_0.50,FP16,73.3,137.1,0.5131,0.5687,0.5995,0.6231,0.6373,0.963849,0.573326,0.094421,0.756974,0.861052
deit3_base_lora-heads_0.50,INT8,73.3,71.0,0.5099,0.566,0.5968,0.6194,0.6336,0.963417,0.570376,0.094957,0.756706,0.859174
deit3_base_lora-blocks_3,FP32,66.2,246.4,0.5464,0.5923,0.6178,0.6371,0.6518,0.966511,0.598698,0.089766,0.76073,0.878219
deit3_base_lora-blocks_3,FP16,66.2,123.5,0.5464,0.5923,0.6175,0.6371,0.6521,0.966512,0.598679,0.089861,0.760193,0.878219
deit3_base_lora-blocks_3,INT8,66.2,64.0,0.5443,0.592,0.6161,0.6363,0.6505,0.966286,0.597364,0.088788,0.758584,0.877682
deit3_base_kd-heads_0.25,FP32,80.4,300.6,0.5676,0.6186,0.6489,0.6663,0.6821,0.970475,0.623145,0.0853,0.795869,0.884388
deit3_base_kd-heads_0.25,FP16,80.4,150.7,0.5679,0.6188,0.6494,0.6666,0.6824,0.970482,0.623398,0.0853,0.795869,0.884388
deit3_base_kd-heads_0.25,INT8,80.4,77.8,0.5646,0.6137,0.6459,0.6644,0.6789,0.969624,0.619889,0.087715,0.792918,0.88412
swin_base-heads_0.10,FP32,87.1,327.2,0.4965,0.5585,0.5866,0.607,0.6223,0.95194,0.558234,0.110212,0.73471,0.844152
swin_base-heads_0.10,FP16,87.1,164.8,0.4968,0.5585,0.5866,0.6065,0.6229,0.951938,0.558354,0.109834,0.73471,0.843616
swin_base-heads_0.10,INT8,87.1,85.1,0.497,0.5558,0.5869,0.606,0.6237,0.951835,0.558186,0.109123,0.735247,0.843079
swin_base-heads_0.25,FP32,83.4,312.6,0.4665,0.5252,0.5561,0.5773,0.5925,0.945614,0.528232,0.120172,0.707886,0.820011
swin_base-heads_0.25,FP16,83.4,157.5,0.4662,0.5249,0.5566,0.5767,0.5933,0.945604,0.52811,0.120171,0.707082,0.820011
swin_base-heads_0.25,INT8,83.4,81.2,0.4659,0.5236,0.5534,0.5754,0.5931,0.945513,0.527144,0.120976,0.706009,0.816792
swin_base-blocks_5,FP32,73.3,273.9,0.5748,0.6253,0.6545,0.6706,0.6872,0.967776,0.629017,0.08691,0.792382,0.88412
swin_base-blocks_5,FP16,73.3,137.9,0.5748,0.625,0.6548,0.6706,0.6875,0.967779,0.629001,0.086908,0.792918,0.88412
swin_base-blocks_5,INT8,73.3,71.2,0.5719,0.6293,0.6548,0.6727,0.6872,0.968049,0.628426,0.087447,0.791041,0.884925
swin_tiny_kd-heads_0.10,FP32,28.9,105.3,0.5051,0.5617,0.595,0.6172,0.632,0.961553,0.566297,0.096839,0.744367,0.857028
swin_tiny_kd-heads_0.10,FP16,28.9,53.2,0.5048,0.5617,0.5952,0.6167,0.632,0.961548,0.56616,0.097103,0.743562,0.85676
swin_tiny_kd-heads_0.10,INT8,28.9,27.8,0.5035,0.563,0.5933,0.6161,0.628,0.961921,0.565251,0.097908,0.742758,0.857296
