experiment,model_name,source_ckpt,prune_method,head_prune_ratio,num_blocks_to_remove,params_before,params_after,compression,finetune_epochs,finetune_lr,eval_rank1,test_rank1,best_ckpt
swin_base-heads_0.10-ft10,swin_base_patch4_window7_224.ms_in1k,/mnt/data/wandb/checkpoints/vit_book_final_lora/ci53ufy8/epoch=39-rank1tinyface/eval/rank@1=0.556.ckpt,heads,0.1,0,89088696,87114011,0.0222,10,3e-05,0.4709,0.4965,/home/zms/engineering/scalable-vits-book/pruned_models/epoch=7-rank1tinyface/eval/rank@1=0.471.ckpt
swin_tiny_baseline-heads_0.10,swin_tiny_patch4_window7_224.ms_in1k,/mnt/data/wandb/checkpoints/vit_book_final_baselines/p09btsx3/epoch=22-rank1tinyface/eval/rank@1=0.541.ckpt,heads,0.1,0,29285370,28864373,0.0144,10,3e-05,0.5155,0.4995,/home/zms/engineering/scalable-vits-book/pruned_models_v2/epoch=6-rank1tinyface/eval/rank@1=0.516.ckpt
swin_tiny_baseline-heads_0.25,swin_tiny_patch4_window7_224.ms_in1k,/mnt/data/wandb/checkpoints/vit_book_final_baselines/p09btsx3/epoch=22-rank1tinyface/eval/rank@1=0.541.ckpt,heads,0.25,0,29285370,27827624,0.0498,10,3e-05,0.4787,0.4646,/home/zms/engineering/scalable-vits-book/pruned_models_v2/epoch=9-rank1tinyface/eval/rank@1=0.479.ckpt
swin_tiny_baseline-blocks_2,swin_tiny_patch4_window7_224.ms_in1k,/mnt/data/wandb/checkpoints/vit_book_final_baselines/p09btsx3/epoch=22-rank1tinyface/eval/rank@1=0.541.ckpt,blocks,0.25,2,29285370,25733538,0.1213,10,3e-05,0.5465,0.5440,/home/zms/engineering/scalable-vits-book/pruned_models_v2/epoch=7-rank1tinyface/eval/rank@1=0.547.ckpt
swin_tiny_kd_best-heads_0.10,swin_tiny_patch4_window7_224.ms_in1k,/mnt/data/wandb/checkpoints/vit_book_kd_alpha_ablation/zz76v2nu/epoch=38-rank1tinyface/eval/rank@1=0.628.ckpt,heads,0.1,0,29285370,28864373,0.0144,10,3e-05,0.3488,0.4032,/home/zms/engineering/scalable-vits-book/pruned_models_v2/epoch=0-rank1tinyface/eval/rank@1=0.349.ckpt
swin_tiny_kd_best-heads_0.25,swin_tiny_patch4_window7_224.ms_in1k,/mnt/data/wandb/checkpoints/vit_book_kd_alpha_ablation/zz76v2nu/epoch=38-rank1tinyface/eval/rank@1=0.628.ckpt,heads,0.25,0,29285370,27827624,0.0498,10,3e-05,0.3508,0.3801,/home/zms/engineering/scalable-vits-book/pruned_models_v2/epoch=1-rank1tinyface/eval/rank@1=0.351.ckpt
swin_tiny_kd_best-blocks_2,swin_tiny_patch4_window7_224.ms_in1k,/mnt/data/wandb/checkpoints/vit_book_kd_alpha_ablation/zz76v2nu/epoch=38-rank1tinyface/eval/rank@1=0.628.ckpt,blocks,0.25,2,29285370,25733538,0.1213,10,3e-05,0.5640,0.5829,/home/zms/engineering/scalable-vits-book/pruned_models_v2/epoch=0-rank1tinyface/eval/rank@1=0.564.ckpt
deit3_small_baseline-heads_0.10,deit3_small_patch16_224.fb_in1k,/mnt/data/wandb/checkpoints/vit_book_final_baselines/rdsdt7xb/epoch=47-rank1tinyface/eval/rank@1=0.562.ckpt,heads,0.1,0,22501248,21811776,0.0306,10,3e-05,0.5911,0.5644,/home/zms/engineering/scalable-vits-book/pruned_models_v2/epoch=4-rank1tinyface/eval/rank@1=0.591.ckpt
deit3_small_baseline-heads_0.25,deit3_small_patch16_224.fb_in1k,/mnt/data/wandb/checkpoints/vit_book_final_baselines/rdsdt7xb/epoch=47-rank1tinyface/eval/rank@1=0.562.ckpt,heads,0.25,0,22501248,20728320,0.0788,10,3e-05,0.5717,0.5515,/home/zms/engineering/scalable-vits-book/pruned_models_v2/epoch=5-rank1tinyface/eval/rank@1=0.572.ckpt
deit3_small_baseline-blocks_2,deit3_small_patch16_224.fb_in1k,/mnt/data/wandb/checkpoints/vit_book_final_baselines/rdsdt7xb/epoch=47-rank1tinyface/eval/rank@1=0.562.ckpt,blocks,0.25,2,22501248,18950784,0.1578,10,3e-05,0.4729,0.4981,/home/zms/engineering/scalable-vits-book/pruned_models_v2/epoch=8-rank1tinyface/eval/rank@1=0.473.ckpt
swin_base_baseline-heads_0.10,swin_base_patch4_window7_224.ms_in1k,/mnt/data/wandb/checkpoints/vit_book_final_baselines/xd7hukv3/epoch=37-rank1tinyface/eval/rank@1=0.564.ckpt,heads,0.1,0,89088696,87114011,0.0222,10,3e-05,0.5136,0.4874,/home/zms/engineering/scalable-vits-book/pruned_models_v2/epoch=7-rank1tinyface/eval/rank@1=0.514.ckpt
swin_base_baseline-heads_0.25,swin_base_patch4_window7_224.ms_in1k,/mnt/data/wandb/checkpoints/vit_book_final_baselines/xd7hukv3/epoch=37-rank1tinyface/eval/rank@1=0.564.ckpt,heads,0.25,0,89088696,83366090,0.0642,10,3e-05,0.4690,0.4541,/home/zms/engineering/scalable-vits-book/pruned_models_v2/epoch=8-rank1tinyface/eval/rank@1=0.469.ckpt
swin_base_baseline-blocks_5,swin_base_patch4_window7_224.ms_in1k,/mnt/data/wandb/checkpoints/vit_book_final_baselines/xd7hukv3/epoch=37-rank1tinyface/eval/rank@1=0.564.ckpt,blocks,0.25,5,89088696,73317096,0.1770,10,3e-05,0.5795,0.5528,/home/zms/engineering/scalable-vits-book/pruned_models_v2/epoch=0-rank1tinyface/eval/rank@1=0.579.ckpt
deit3_base_kd_best-heads_0.10,deit3_base_patch16_224.fb_in1k,/mnt/data/wandb/checkpoints/vit_book_kd_alpha_ablation/j8e97e1o/epoch=47-rank1tinyface/eval/rank@1=0.583.ckpt,heads,0.1,0,87469824,84714624,0.0315,10,3e-05,0.5911,0.5928,/home/zms/engineering/scalable-vits-book/pruned_models_v2/epoch=5-rank1tinyface/eval/rank@1=0.591.ckpt
deit3_base_kd_best-heads_0.25,deit3_base_patch16_224.fb_in1k,/mnt/data/wandb/checkpoints/vit_book_kd_alpha_ablation/j8e97e1o/epoch=47-rank1tinyface/eval/rank@1=0.583.ckpt,heads,0.25,0,87469824,80385024,0.0810,10,3e-05,0.5698,0.5652,/home/zms/engineering/scalable-vits-book/pruned_models_v2/epoch=3-rank1tinyface/eval/rank@1=0.570.ckpt
deit3_base_kd_best-blocks_3,deit3_base_patch16_224.fb_in1k,/mnt/data/wandb/checkpoints/vit_book_kd_alpha_ablation/j8e97e1o/epoch=47-rank1tinyface/eval/rank@1=0.583.ckpt,blocks,0.25,3,87469824,66201600,0.2431,10,3e-05,0.5155,0.5491,/home/zms/engineering/scalable-vits-book/pruned_models_v2/epoch=8-rank1tinyface/eval/rank@1=0.516.ckpt
