model,category,fp16_size_MB,fp16_cosine,fp16_status,int8_size_MB,int8_cosine,int8_status
deit3_base,baselines,164.2,0.999999,PASS,84.6,0.996471,PASS
deit3_medium,baselines,73.7,0.999999,PASS,38.6,0.996195,PASS
deit3_small,baselines,42.0,0.999997,PASS,22.4,0.990650,PASS
swin_base,baselines,168.6,1.000000,PASS,87.2,0.997869,PASS
swin_small,baselines,96.1,1.000000,PASS,50.5,0.997371,PASS
swin_tiny,baselines,54.1,0.999999,PASS,28.3,0.996700,PASS
deit3_base_kd_cvlface_alpha0.0,kd_cvlface,164.2,0.999998,PASS,84.6,0.989706,WARN
deit3_base_kd_cvlface_alpha0.8,kd_cvlface,164.2,0.999999,PASS,84.6,0.996444,PASS
deit3_base_kd_cvlface_frozen,kd_cvlface,164.2,0.999999,PASS,84.6,0.996288,PASS
deit3_base_kd_cvlface_frozen_lora,kd_cvlface,164.2,0.999998,PASS,84.6,0.993662,PASS
deit3_base_kd_cvlface_ft,kd_cvlface,164.2,0.999999,PASS,84.6,0.996356,PASS
deit3_base_kd_cvlface_ft_lora,kd_cvlface,164.2,0.999998,PASS,84.6,0.993672,PASS
deit3_medium_kd_cvlface_frozen,kd_cvlface,73.7,0.999999,PASS,38.6,0.996133,PASS
deit3_medium_kd_cvlface_frozen_lora,kd_cvlface,73.7,0.999999,PASS,38.6,0.995123,PASS
deit3_medium_kd_cvlface_ft,kd_cvlface,73.7,0.999999,PASS,38.6,0.996533,PASS
deit3_medium_kd_cvlface_ft_lora,kd_cvlface,73.7,0.999998,PASS,38.6,0.994369,PASS
deit3_small_kd_cvlface_frozen,kd_cvlface,42.0,0.999997,PASS,22.4,0.990824,PASS
deit3_small_kd_cvlface_frozen_lora,kd_cvlface,42.0,0.999997,PASS,22.4,0.990048,PASS
deit3_small_kd_cvlface_ft,kd_cvlface,42.0,0.999997,PASS,22.4,0.990413,PASS
deit3_small_kd_cvlface_ft_lora,kd_cvlface,42.0,0.999998,PASS,22.4,0.994968,PASS
swin_base_kd_cvlface_frozen,kd_cvlface,168.6,1.000000,PASS,87.2,0.998135,PASS
swin_base_kd_cvlface_frozen_lora,kd_cvlface,168.6,1.000000,PASS,87.2,0.999595,PASS
swin_base_kd_cvlface_ft,kd_cvlface,168.6,0.999999,PASS,87.2,0.998211,PASS
swin_base_kd_cvlface_ft_lora,kd_cvlface,168.6,1.000000,PASS,87.2,0.999580,PASS
swin_small_kd_cvlface_frozen,kd_cvlface,96.1,0.999999,PASS,50.5,0.997042,PASS
swin_small_kd_cvlface_frozen_lora,kd_cvlface,96.1,1.000000,PASS,50.5,0.999883,PASS
swin_small_kd_cvlface_ft,kd_cvlface,96.1,1.000000,PASS,50.5,0.997074,PASS
swin_small_kd_cvlface_ft_lora,kd_cvlface,96.1,1.000000,PASS,50.5,0.998303,PASS
swin_tiny_kd_cvlface_alpha0.0,kd_cvlface,54.1,0.999999,PASS,28.3,0.997212,PASS
swin_tiny_kd_cvlface_frozen,kd_cvlface,54.1,0.999999,PASS,28.3,0.997022,PASS
swin_tiny_kd_cvlface_frozen_lora,kd_cvlface,54.1,1.000000,PASS,28.3,0.999916,PASS
swin_tiny_kd_cvlface_ft,kd_cvlface,54.1,0.999999,PASS,28.3,0.996850,PASS
swin_tiny_kd_cvlface_ft_lora,kd_cvlface,54.1,1.000000,PASS,28.3,0.999853,PASS
deit3_base_kd_petalface_alpha0.1,kd_petalface,164.2,0.999999,PASS,84.6,0.996008,PASS
deit3_base_kd_petalface_alpha0.7,kd_petalface,164.2,0.999999,PASS,84.6,0.996414,PASS
swin_base_kd_petalface_frozen,kd_petalface,168.6,0.999999,PASS,87.2,0.997817,PASS
swin_base_kd_petalface_frozen_lora,kd_petalface,168.6,1.000000,PASS,87.2,0.999049,PASS
swin_base_kd_petalface_ft,kd_petalface,168.6,1.000000,PASS,87.2,0.997922,PASS
swin_base_kd_petalface_ft_lora,kd_petalface,168.6,1.000000,PASS,87.2,0.999620,PASS
swin_small_kd_petalface_frozen,kd_petalface,96.1,1.000000,PASS,50.5,0.997468,PASS
swin_small_kd_petalface_frozen_lora,kd_petalface,96.1,1.000000,PASS,50.5,0.999939,PASS
swin_small_kd_petalface_ft,kd_petalface,96.1,0.999998,PASS,50.5,0.996542,PASS
swin_small_kd_petalface_ft_lora,kd_petalface,96.1,1.000000,PASS,50.5,0.999939,PASS
swin_tiny_kd_petalface_alpha0.3,kd_petalface,54.1,0.999999,PASS,28.3,0.998191,PASS
swin_tiny_kd_petalface_frozen,kd_petalface,54.1,0.999995,PASS,28.3,0.997012,PASS
swin_tiny_kd_petalface_frozen_lora,kd_petalface,54.1,0.999999,PASS,28.3,0.998156,PASS
swin_tiny_kd_petalface_ft,kd_petalface,54.1,0.999989,PASS,28.3,0.996707,PASS
swin_tiny_kd_petalface_ft_lora,kd_petalface,54.1,0.999999,PASS,28.3,0.998593,PASS
deit3_base_lora,lora,164.2,0.999998,PASS,84.6,0.991793,PASS
deit3_medium_lora,lora,73.7,0.999999,PASS,38.6,0.996001,PASS
deit3_small_lora,lora,42.0,0.999997,PASS,22.4,0.988725,WARN
swin_base_lora,lora,168.6,1.000000,PASS,87.2,0.997359,PASS
swin_small_lora,lora,96.1,1.000000,PASS,50.5,0.998611,PASS
swin_tiny_lora,lora,54.1,0.999999,PASS,28.3,0.998413,PASS
