model,precision,file_size_MB,cosine_sim_vs_fp32,rank_at_1,rank_at_1_drop
swin_tiny_baseline,FP32,106.9,1.000000,0.5335,0.0
swin_tiny_baseline,FP16,54.1,0.999999,0.5335,0.0
swin_tiny_baseline,INT8,28.3,0.9967,0.5322,-0.0013
swin_tiny_kd_cvlface_frozen,FP32,106.9,1.000000,0.5491,0.0
swin_tiny_kd_cvlface_frozen,FP16,54.1,0.999999,0.5494,0.0003
swin_tiny_kd_cvlface_frozen,INT8,28.3,0.997022,0.5475,-0.0016
deit3_base_kd_cvlface_frozen,FP32,327.7,1.000000,0.5719,0.0
deit3_base_kd_cvlface_frozen,FP16,164.2,0.999999,0.5714,-0.0005
deit3_base_kd_cvlface_frozen,INT8,84.6,0.996288,0.5727,0.0008
deit3_base_lora,FP32,327.7,1.000000,0.5496,0.0
deit3_base_lora,FP16,164.2,0.999998,0.5496,0.0
deit3_base_lora,INT8,84.6,0.991793,0.5486,-0.001
